Polymer Name,Polymer Type,Glass Transition Temperature (K),Reduced Glass Transition Temperature (293/T_g),Shear Modulus (MPa),Density (g/cm^3),Density Measurement Precision (no. sig figs),Melt or Burn?,Level of Cross-Linking,Elongation
Polyvinyl-carbazol,thermoplastic,476,0.615,1278.8,1.2,2,melt,none,moderate
Polycarbonate,thermoset,437,0.671,1599.1,1.2,2,burn,high,low
Polychloromethacrylate,thermoplastic,431,0.679,2391.3,0.936,3,melt,none,moderate
Polystyrene,thermoplastic,390,0.752,1045.7,1.05,3,melt,none,moderate
Polymethacrylsauremethylester,thermoset,387,0.756,1222.9,2,1,burn,high,low
Polystyrene + monomers (99/1),thermoset,375,0.782,1307.7,2,1,burn,high,low
Polycrylonitrile,thermoplastic,365,0.803,1430.0,1.184,4,melt,none,moderate
"Polyester, highly crosslinked",thermoset,367,0.799,1828.7,2.2,2,burn,high,low
Polychlorotrifluorethylene,thermoset,365,0.803,500.1,2.1,2,burn,high,low
Polyvinyl chloride,thermoplastic,365,0.803,1069.4,1.38,3,melt,none,moderate
Polyamides and Polyurethanes,thermoset,339,0.863,799.7,1.14,3,burn,high,low
Polyamides and Polyurethanes,thermoset,335,0.874,942.9,1.14,3,burn,high,low
Polyamides and Polyurethanes,thermoset,326,0.899,776.6,1.14,3,burn,high,low
Polyamides and Polyurethanes,thermoset,327,0.896,872.5,1.14,3,burn,high,low
Polyamides and Polyurethanes,thermoset,325,0.901,967.6,1.14,3,burn,high,low
Polyamides and Polyurethanes,thermoset,310,0.946,850.2,1.14,3,burn,high,low
NR + 30% S,thermoplastic,315,0.931,673.6,0.95,2,melt,none,moderate
Polyvinylidenchloride,thermoset,318,0.921,895.4,1.77,3,burn,high,low
Vinylchloride/Vinylidenchloride-Cop.,thermoset,294,0.996,1190.2,1.16,3,burn,high,low
Polyvinylacetate,thermoset,294,0.998,895.4,1.21,3,burn,high,low
Polyamides and Polyurethanes,thermoset,309,0.948,756.8,1.14,3,burn,high,low
Polypropylene,thermoplastic,280,1.045,591.8,0.92,2,melt,none,moderate
Polytetrafluorethylene,thermoplastic,218,1.347,401.5,2.2,2,melt,none,moderate
Polyethylene,thermoplastic,164,1.783,156.1,0.93,2,melt,none,moderate
Polyvinylfluoride,thermoplastic,312,0.939,298.1,1.45,3,melt,none,moderate
"Polyester, weakly crosslinked",thermoset,294,0.996,401.5,0.601,3,burn,high,low
PVC/DOP 75/25,thermoplastic,300,0.976,20.5,1.27,3,melt,none,moderate
Polyvinylpropionate,elastomer,293,1.000,4.1,1.02,3,melt,moderate,high
Polyvinylisobutylether,elastomer,273,1.075,1.5,0.9,1,melt,low,high
PVC/DOP 55/54,thermoplastic,252,1.161,2.0,1.27,3,melt,none,moderate
Butyl Rubber,elastomer,235,1.248,2.9,0.92,2,melt,low,high
NR + 50% HAF,elastomer,227,1.293,1.9,1,1,melt,moderate,high
Polyisobutylene,elastomer,240,1.221,1.5,0.92,2,burn,low,high
NR + 5% S,elastomer,238,1.233,1.3,0.95,2,melt,low,high
NR + 2% S,elastomer,227,1.293,1.0,0.93,2,melt,low,high
NR/SBR + ISAF,elastomer,233,1.258,0.8,1,1,melt,low,high
NR,elastomer,225,1.305,0.6,0.91,2,melt,low,high
NR + 20% S,elastomer,253,1.156,1.4,1.08,3,melt,moderate,high
PUR-Elastomers 80 Shore,elastomer,245,1.194,0.7,1.24,3,melt,moderate,high
Polyvinyl-n-butylether,elastomer,244,1.199,0.5,0.91,2,melt,low,high
Acrylonitrile Butadiene-Styrene GSM,thermoplastic,378,0.775,82.7,1.04,3,melt,none,moderate
Acrylonitrile Butadiene-Styrene KJB,thermoplastic,378,0.775,82.7,1.22,3,melt,none,moderate
Acrylonitrile Butadiene-Styrene DH,thermoplastic,378,0.775,96.5,1.05,3,melt,none,moderate
Nylon 101,thermoplastic,372,0.788,68.9,1.15,3,melt,none,moderate